Symbol,Sector,SM20,SM50,EPS TR,Price Change
HSC,Industrials | Waste Management | USA,-1.50%,9.86%,Perfect,4.34%
BGCP,Financial | Capital Markets | USA,-3.48%,0.82%,Ok,13.13%
GLP,Energy | Oil Gas Midstream | USA,-4.40%,1.15%,Perfect,2.17%
AES,Utilities | Utilities - Diversified | USA,-3.87%,-7.11%,Ok,-1.74%
AXSM,Healthcare | Biotechnology | USA,-8.67%,-12.93%,Bad,4.96%
TREE,Financial | Financial Conglomerates | USA,-11.70%,18.70%,Bad,-13.56%
NAT,Industrials | Marine Shipping | Bermuda,13.08%,18.10%,Bad,11.84%
TGNA,Communication Services | Broadcasting | USA,7.63%,7.59%,Ok,-18.91%
KOP,Basic Materials | Specialty Chemicals | USA,0.93%,8.01%,Ok,2.50%
PNW,Utilities | Utilities - Regulated Electric | USA,-1.55%,-2.90%,Good,0.99%
CGEN,Healthcare | Biotechnology | Israel,-12.10%,-12.43%,Bad,2.17%
VTRS,Healthcare | Drug Manufacturers - Specialty Generic | USA,-3.04%,-0.63%,Ok,-2.69%
BXSL,Financial | Asset Management | USA,3.06%,7.24%,Ok,2.73%
FRPT,Consumer Defensive | Packaged Foods | USA,-4.65%,3.00%,Perfect,1.69%
ITRI,Technology | Scientific Technical Instruments | USA,-4.57%,-0.65%,Perfect,-5.29%
FSR,Consumer Cyclical | Auto Manufacturers | USA,-21.64%,-21.16%,Ok,30.28%
FREY,Industrials | Electrical Equipment Parts | Luxembourg,-6.29%,-11.68%,Bad,13.20%
FUBO,Communication Services | Broadcasting | USA,-5.81%,5.56%,Good,-13.79%
LINC,Consumer Defensive | Education Training Services | USA,-6.59%,-1.64%,Perfect,-3.00%
